mode,variant_ordinal,requested_keep_fraction,actual_visual_token_keep_rate,visual_tokens,input_sequence_tokens,model_binary_score,predicted_anomalous,segment_correct,structured_output_valid,predicted_events,gt_events,mean_matched_event_tiou,predicted_objects,gt_objects,matched_objects,object_recall,object_precision,appearance_attribute_f1,position_sample_coverage,primary_cell_accuracy,occupied_cell_mean_iou,first_token_seconds,generation_seconds,peak_cuda_gib,pseudo_positive_g_recall,visual_token_reduction_vs_full,first_token_speedup_vs_full,generation_speedup_vs_full,peak_memory_reduction_vs_full
full,0,1.0,1.0,9680,10710,0.06008664891123772,False,False,True,0,1,0.0,0,2,0,0.0,,0.0,,,0.0,1.7561046839691699,4.127139329910278,19.183557510375977,,0.0,1.0,1.0,0.0
keep-0p75,1,0.75,0.7511363636363636,7271,8301,0.09534946084022522,False,False,True,0,1,0.0,0,2,0,0.0,,0.0,,,0.0,1.19412502204068,3.772343124030158,18.770017623901367,1.0,0.2488636363636364,1.470620455610338,1.0940519444321057,0.02155699672758482
keep-0p5,2,0.5,0.5011363636363636,4851,5881,0.01798621006309986,False,False,True,0,1,0.0,0,2,0,0.0,,0.0,,,0.0,0.8105529809836298,2.8978028199635446,18.14176893234253,1.0,0.4988636363636364,2.166551385497448,1.4242305589178077,0.0543063286082347
keep-0p25,3,0.25,0.25113636363636366,2431,3461,0.01798621006309986,False,False,True,0,1,0.0,0,2,0,0.0,,0.0,,,0.0,0.46309838304296136,2.558993691112846,17.51696538925171,1.0,0.7488636363636363,3.792076906919921,1.6127977744702773,0.08687607187680613
keep-0p1,4,0.1,0.10113636363636364,979,2009,0.022977370768785477,False,False,False,1,1,0.26436781609195403,2,2,2,1.0,1.0,0.0,0.36363636363636365,0.36363636363636365,0.875,0.2535497350618243,21.445960022043437,17.13744068145752,0.9193548387096774,0.8988636363636364,6.926075799452009,0.19244367357153322,0.10665992623170939
